,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,2016-17,2017-03-25,,Gonzaga,2,,Xavier,,W,,83,59,24,,,True
64,2016-17,2017-03-25,,Oregon,9,,Kansas,3,W,,74,60,14,,,True
65,2016-17,2017-03-26,,South Carolina,,,Florida,20,W,,77,70,7,,,True
66,2016-17,2017-03-26,,North Carolina,6,,Kentucky,5,W,,75,73,2,,,True
67,2016-17,2017-04-01,,Gonzaga,2,,South Carolina,,W,,77,73,4,,,True
68,2016-17,2017-04-01,,North Carolina,6,,Oregon,9,W,,77,76,1,,,True
69,2016-17,2017-04-03,,North Carolina,6,,Gonzaga,2,W,,71,65,6,,,True
70,2017-18,2018-03-13,,Radford,,,Long Island University,,W,,71,61,10,,,True
71,2017-18,2018-03-13,,St. Bonaventure,,,UCLA,,W,,65,58,7,,,True
72,2017-18,2018-03-14,,Texas Southern,,,North Carolina Central,,W,,64,46,18,,,True
73,2017-18,2018-03-14,,Syracuse,,,Arizona State,,W,,60,56,4,,,True
74,2017-18,2018-03-15,,Rhode Island,,,Oklahoma,,W,,83,78,5,,1,True
75,2017-18,2018-03-15,,Tennessee,13,,Wright State,,W,,73,47,26,,,True
76,2017-18,2018-03-15,,Gonzaga,8,,UNC Greensboro,,W,,68,64,4,,,True
77,2017-18,2018-03-15,,Duke,9,,Iona,,W,,89,67,22,,,True
78,2017-18,2018-03-15,,Kansas,4,,Pennsylvania,,W,,76,60,16,,,True
79,2017-18,2018-03-15,,Loyola (IL),,,Miami (FL),22,W,,64,62,2,,,True
80,2017-18,2018-03-15,,Ohio State,17,,South Dakota State,,W,,81,73,8,,,True
81,2017-18,2018-03-15,,Seton Hall,,,NC State,,W,,94,83,11,,,True
82,2017-18,2018-03-15,,Villanova,2,,Radford,,W,,87,61,26,,,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,2017-18,2018-03-15,,Houston,21,,San Diego State,,W,,67,65,2,,,True
85,2017-18,2018-03-15,,Kentucky,18,,Davidson,,W,,78,73,5,,,True
86,2017-18,2018-03-15,,Texas Tech,14,,Stephen F. Austin,,W,,70,60,10,,,True
87,2017-18,2018-03-15,,Buffalo,,,Arizona,12,W,,89,68,21,,,True
88,2017-18,2018-03-15,,Florida,23,,St. Bonaventure,,W,,77,62,15,,,True
89,2017-18,2018-03-15,,Michigan,7,,Montana,,W,,61,47,14,,,True
90,2017-18,2018-03-15,,Alabama,,,Virginia Tech,,W,,86,83,3,,,True
91,2017-18,2018-03-16,,Purdue,11,,Cal State Fullerton,,W,,74,48,26,,,True
92,2017-18,2018-03-16,,Texas A&M,,,Providence,,W,,73,69,4,,,True
93,2017-18,2018-03-16,,Marshall,,,Wichita State,16,W,,81,75,6,,,True
94,2017-18,2018-03-16,,Cincinnati,6,,Georgia State,,W,,68,53,15,,,True
95,2017-18,2018-03-16,,North Carolina,10,,Lipscomb,,W,,84,66,18,,,True
96,2017-18,2018-03-16,,Butler,,,Arkansas,,W,,79,62,17,,,True
97,2017-18,2018-03-16,,Nevada,24,,Texas,,W,,87,83,4,,1,True
98,2017-18,2018-03-16,,West Virginia,15,,Murray State,,W,,85,68,17,,,True
99,2017-18,2018-03-16,,Kansas State,,,Creighton,,W,,69,59,10,,,True
100,2017-18,2018-03-16,,Auburn,19,,College of Charleston,,W,,62,58,4,,,True
101,2017-18,2018-03-16,,Michigan State,5,,Bucknell,,W,,82,78,4,,,True
102,2017-18,2018-03-16,,Xavier,3,,Texas Southern,,W,,102,83,19,,,True
103,2017-18,2018-03-16,,Clemson,20,,New Mexico State,,W,,79,68,11,,,True
0,2017-18,2018-03-16,,Florida State,,,Missouri,,W,,67,54,13,,,True
1,2017-18,2018-03-16,,Syracuse,,,TCU,,W,,57,52,5,,,True
2,2017-18,2018-03-16,,Maryland-Baltimore County,,,Virginia,1,W,,74,54,20,,,True
3,2017-18,2018-03-17,,Villanova,2,,Alabama,,W,,81,58,23,,,True
4,2017-18,2018-03-17,,Duke,9,,Rhode Island,,W,,87,62,25,,,True
5,2017-18,2018-03-17,,Kentucky,18,,Buffalo,,W,,95,75,20,,,True
6,2017-18,2018-03-17,,Loyola (IL),,,Tennessee,13,W,,63,62,1,,,True
7,2017-18,2018-03-17,,Gonzaga,8,,Ohio State,17,W,,90,84,6,,,True
8,2017-18,2018-03-17,,Kansas,4,,Seton Hall,,W,,83,79,4,,,True
9,2017-18,2018-03-17,,Texas Tech,14,,Florida,23,W,,69,66,3,,,True
10,2017-18,2018-03-17,,Michigan,7,,Houston,21,W,,64,63,1,,,True
11,2017-18,2018-03-18,,Purdue,11,,Butler,,W,,76,73,3,,,True
12,2017-18,2018-03-18,,Syracuse,,,Michigan State,5,W,,55,53,2,,,True
13,2017-18,2018-03-18,,Texas A&M,,,North Carolina,10,W,,86,65,21,,,True
14,2017-18,2018-03-18,,Nevada,24,,Cincinnati,6,W,,75,73,2,,,True
15,2017-18,2018-03-18,,Clemson,20,,Auburn,19,W,,84,53,31,,,True
16,2017-18,2018-03-18,,Kansas State,,,Maryland-Baltimore County,,W,,50,43,7,,,True
17,2017-18,2018-03-18,,Florida State,,,Xavier,3,W,,75,70,5,,,True
18,2017-18,2018-03-18,,West Virginia,15,,Marshall,,W,,94,71,23,,,True
19,2017-18,2018-03-22,,Michigan,7,,Texas A&M,,W,,99,72,27,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2017-18,2018-03-22,,Loyola (IL),,,Nevada,24,W,,69,68,1,,,True
22,2017-18,2018-03-22,,Kansas State,,,Kentucky,18,W,,61,58,3,,,True
23,2017-18,2018-03-22,,Florida State,,,Gonzaga,8,W,,75,60,15,,,True
